code,char,archive,entry,child,source,cell,runtime_texture,verification,notes
0x03c9,欠,DATA001,0002,5,codeJAP14x14_08_,65,0x040e6700,confirmed,"0F tutorial title probe: replacing record 70 with 0x03c9 renders 欠; patching child 5 cell 65 changes it in PPSSPP."
0x0465,移,DATA001,0002,6,codeJAP14x14_10_,59,0x040e8800,confirmed,"GE title draw plus exported cell: local/work/glyph_cells/0006_codeJAP14x14_10_/cell_059_r06_c05.png."
0x042e,方,DATA001,0002,6,codeJAP14x14_10_,4,0x040e8800,confirmed,"GE/exported cell check: local/work/glyph_cells/0006_codeJAP14x14_10_/cell_004_r00_c04.png; p1p3 probe boxes title position 3."
0x033f,動,DATA001,0002,4,codeJAP14x14_06_,8,0x040e4600,confirmed,"GE inspection of 0F movement tutorial title: first row ninth column, cell 8."
0x05ca,法,DATA001,0002,8,codeJAP14x14_14_,11,0x040eca00,confirmed,"GE inspection of 0F movement tutorial title: cell 11."
0x021b,る,DATA001,0002,2,codeJAP14x14_02_,40,0x040e0400,confirmed,"Overlay/body page-base probe: B2 row rendered 021B=る; GE cell 40 on local/work/dumped_textures/040e040028998f6f134f822a.png. Context-specific observation, not title path."
0x023c,ス,DATA001,0002,3,codeJAP14x14_04_,73,0x040e2500,confirmed,"Overlay/body page-base probe: B2 row rendered 023C=ス; GE cell 73 on local/work/dumped_textures/040e2500676a3b4e3748fa38.png. Context-specific observation, not title path."
0x0222,を,DATA001,0002,2,codeJAP14x14_02_,47,0x040e0400,confirmed,"Overlay/body page-base probe: B2 row rendered 0222=を; GE cell 47 on texture 0x040e0400. Context-specific observation, not title path. Implied overlay base 0x01f3."
0x026e,ル,DATA001,0002,3,codeJAP14x14_04_,42,0x040e2500,confirmed,"Overlay/body page-base probe: B2 row rendered 026E=ル; GE cell 42 on texture 0x040e2500. Context-specific observation, not title path. Implied overlay base 0x0244."
0x0276,ン,DATA001,0002,3,codeJAP14x14_04_,50,0x040e2500,confirmed,"Overlay/body page-base probe: B2 row rendered 0276=ン; GE cell 50 on texture 0x040e2500. Context-specific observation, not title path. Implied overlay base 0x0244."
0x01e7,し,DATA001,0002,2,codeJAP14x14_02_,69,0x040e0400,confirmed,"Overlay/body page-base probe v2: C3 row rendered 1E7=し; same-base group with 1E9 cell 71. Context-specific observation, not title path. Implied overlay base 0x01a2."
0x01e9,す,DATA001,0002,2,codeJAP14x14_02_,71,0x040e0400,confirmed,"Overlay/body page-base probe v2: C3 row rendered 1E9=す; user reported all C3 row glyphs share this base. Context-specific observation, not title path. Implied overlay base 0x01a2."
0x01dc,が,DATA001,0002,2,codeJAP14x14_02_,58,0x040e0400,confirmed,"Overlay/body page-base probe v2: C3 row rendered 1DC=が; inferred from shared base 0x01a2. Context-specific observation, not title path."
0x01e3,こ,DATA001,0002,2,codeJAP14x14_02_,65,0x040e0400,confirmed,"Overlay/body page-base probe v2: C3 row rendered 1E3=こ; inferred from shared base 0x01a2. Context-specific observation, not title path."
0x01dd,き,DATA001,0002,2,codeJAP14x14_02_,59,0x040e0400,confirmed,"Overlay/body page-base probe v2: C3 row rendered 1DD=き; inferred from shared base 0x01a2. Context-specific observation, not title path."
0x0100,,DATA001,0002,1,codeJAP14x14_00_,0,0x040de300,confirmed,"Overlay/body page-base probe v2 P0 row rendered 100=F after patching child 1 cell 0; confirms page100 base 0x0100 over competing 0x00cf. Context-specific observation, not title path."
0x0101,、,DATA001,0002,1,codeJAP14x14_00_,1,0x040de300,confirmed,"Overlay/body page-base probe v2 P0 row rendered 101=H after patching child 1 cell 1; confirms page100 base 0x0100. Context-specific observation, not title path."
0x0102,。,DATA001,0002,1,codeJAP14x14_00_,2,0x040de300,confirmed,"Overlay/body page-base probe v2 P0 row rendered 102=J after patching child 1 cell 2; confirms page100 base 0x0100. Context-specific observation, not title path."
0x011b,ー,DATA001,0002,1,codeJAP14x14_00_,27,0x040de300,confirmed,"Overlay/body page-base probe v2 P0 row rendered 11B=L after patching child 1 cell 27; confirms page100 base 0x0100. Context-specific observation, not title path."
0x0123,…,DATA001,0002,1,codeJAP14x14_00_,35,0x040de300,confirmed,"Overlay/body page-base probe v2 P0 row rendered 123=O after patching child 1 cell 35; confirms page100 base 0x0100 over competing 0x0120 for this overlay path."
0x03de,戦,DATA001,0002,5,codeJAP14x14_08_,5,0x040e6700,confirmed,"Overlay/body page-base probe v4 H11 row rendered 3DE=戦 at cell 5; same-base group with 3F1/3E1/3F2. Implied overlay base 0x03d9."
0x03f1,全,DATA001,0002,5,codeJAP14x14_08_,24,0x040e6700,confirmed,"Overlay/body page-base probe v4 H11 row rendered 3F1=全; inferred cell 24 from shared base 0x03d9."
